iter	MultiClass
0	1.590434809
1	1.577098973
2	1.558644385
3	1.541338218
4	1.523641895
5	1.506751763
6	1.492423135
7	1.475846773
8	1.461058694
9	1.446612243
10	1.434117731
11	1.422256029
12	1.4078125
13	1.397403698
14	1.383968557
15	1.373065055
16	1.359592321
17	1.347601638
18	1.335562278
19	1.322724775
20	1.310285732
21	1.297992003
22	1.287396266
23	1.275922812
24	1.267441557
25	1.256164373
26	1.249263211
27	1.237396623
28	1.228549083
29	1.21990384
30	1.209486848
31	1.199408529
32	1.191029497
33	1.184062629
34	1.174444183
35	1.165422383
36	1.158746129
37	1.151890768
38	1.145552452
39	1.136922221
40	1.128839288
41	1.121496931
42	1.113218824
43	1.108854985
44	1.103090916
45	1.098133493
46	1.091351436
47	1.08588891
48	1.079780849
49	1.071096343
50	1.064445776
51	1.057587258
52	1.051770805
53	1.045673354
54	1.04109013
55	1.035800318
56	1.030193005
57	1.024214334
58	1.0194683
59	1.015116317
60	1.008508482
61	1.001990623
62	0.9963482052
63	0.992882238
64	0.98790286
65	0.9835048562
66	0.9774157901
67	0.9735227592
68	0.9687409198
69	0.965115874
70	0.9598329992
71	0.9533659713
72	0.9485542576
73	0.9445030524
74	0.9404687181
75	0.9361637241
76	0.9316409423
77	0.9275752175
78	0.9233230016
79	0.9193728165
80	0.9155169121
81	0.9115996087
82	0.9071698469
83	0.9028533265
84	0.8988719157
85	0.8942719192
86	0.8907331392
87	0.8871888217
88	0.8823525711
89	0.8790412793
90	0.8769168884
91	0.8725792051
92	0.8686903946
93	0.8659299313
94	0.8626765502
95	0.8590722327
96	0.8571075697
97	0.8541472238
98	0.851174452
99	0.8474270955
100	0.8443773391
101	0.8408960258
102	0.8368507302
103	0.8345885994
104	0.8311321446
105	0.8282010086
106	0.8251217256
107	0.8220659642
108	0.8183573453
109	0.8157208057
110	0.8131020602
111	0.810761459
112	0.8074753478
113	0.8044108577
114	0.8019857613
115	0.7992602987
116	0.7976985087
117	0.7951595218
118	0.7925201589
119	0.7900619389
120	0.7880073427
121	0.7851744433
122	0.7831872539
123	0.7803149112
124	0.7780120641
125	0.7751297645
126	0.7726014818
127	0.7703959978
128	0.76806668
129	0.7657722832
130	0.7645008461
131	0.7632236605
132	0.7613434882
133	0.759034943
134	0.7567806619
135	0.7547199973
136	0.7528097334
137	0.7503927887
138	0.7479336069
139	0.7460846857
140	0.74406937
141	0.7419232567
142	0.7396805844
143	0.7377947206
144	0.7354632342
145	0.7333032342
146	0.7309611193
147	0.7298858907
148	0.7283845617
149	0.726846985
150	0.7246367864
151	0.7226838955
152	0.7211643001
153	0.719557469
154	0.7177725734
155	0.7157405282
156	0.7140256463
157	0.7122995095
158	0.7104324846
159	0.7087703192
160	0.7069856
161	0.7052720945
162	0.7032960801
163	0.7014767011
164	0.6992236931
165	0.6976659848
166	0.6963023833
167	0.6949932193
168	0.6933764352
169	0.6918663155
170	0.690727852
171	0.6897331461
172	0.6881803391
173	0.6865827734
174	0.6850198378
175	0.6832187379
176	0.6816996341
177	0.6803756848
178	0.6789978843
179	0.6777363409
180	0.6760333977
181	0.6750451069
182	0.6738605594
183	0.6721180849
184	0.671382708
185	0.6700561957
186	0.6690332639
187	0.6679716909
188	0.6671048496
189	0.6656873534
190	0.6642633316
191	0.6628479933
192	0.6616957951
193	0.6605363295
194	0.6591154052
195	0.6577041669
196	0.6566192511
197	0.6552431138
198	0.6546522077
199	0.6533852415
200	0.6520940999
201	0.6512418666
202	0.650455557
203	0.6491525789
204	0.647803011
205	0.6465932561
206	0.6456637944
207	0.6441679867
208	0.6431266027
209	0.6419689195
210	0.6410240784
211	0.6400781686
212	0.6385746963
213	0.637184273
214	0.6360186743
215	0.6347032227
216	0.6333238483
217	0.6321272243
218	0.6312638955
219	0.6303686473
220	0.6296945275
221	0.6288067002
222	0.628061651
223	0.6267550009
224	0.6256619361
225	0.6244621741
226	0.6235711665
227	0.6227558418
228	0.6219410785
229	0.6212253279
230	0.6200878201
231	0.6188655752
232	0.6174955055
233	0.6166104372
234	0.6156803229
235	0.6147090716
236	0.6140808857
237	0.6132289946
238	0.6123592792
239	0.6114458269
240	0.6102094845
241	0.6091252587
242	0.6082711606
243	0.6073826786
244	0.6064497747
245	0.6053415371
246	0.6041913983
247	0.6033679292
248	0.6027073996
249	0.6023068648
250	0.6016250263
251	0.6004100946
252	0.5994269986
253	0.5986284296
254	0.5977075368
255	0.5971363607
256	0.5959685646
257	0.5952346606
258	0.5943534346
259	0.5936434439
260	0.5926218158
261	0.5919316925
262	0.5912779174
263	0.590669838
264	0.5900713556
265	0.5894314859
266	0.588817688
267	0.5880227143
268	0.5872447482
269	0.5860883233
270	0.5854287789
271	0.5846243896
272	0.5839900482
273	0.5834221563
274	0.5826790806
275	0.5818274152
276	0.5809707589
277	0.580148681
278	0.5796081505
279	0.5787450112
280	0.5779277803
281	0.5771663818
282	0.5764264129
283	0.5758032961
284	0.5747873413
285	0.5741934898
286	0.5734130363
287	0.5728145633
288	0.572438849
289	0.5718207552
290	0.5711332351
291	0.5703736889
292	0.5695216114
293	0.5687807197
294	0.5683611299
295	0.5676287996
296	0.5670859827
297	0.5663225006
298	0.5655885263
299	0.5650624416
300	0.564480078
301	0.5636231567
302	0.5630378769
303	0.5623572941
304	0.5616915909
305	0.5612505655
306	0.5604074746
307	0.5598007672
308	0.5593303741
309	0.558941135
310	0.558474433
311	0.5578921481
312	0.5572497977
313	0.5565619582
314	0.5558286996
315	0.555380668
316	0.5548625874
317	0.5541060554
318	0.5534989106
319	0.5530225694
320	0.5525844039
321	0.5522013447
322	0.5516489354
323	0.5514317221
324	0.5507205476
325	0.5502782296
326	0.5498378996
327	0.5491763634
328	0.5486089748
329	0.5480937635
330	0.5473899246
331	0.546893083
332	0.5463267647
333	0.5455880214
334	0.5449515735
335	0.5445570341
336	0.5439582923
337	0.5432738834
338	0.542674606
339	0.5419470085
340	0.5415438424
341	0.5412691846
342	0.5409309337
343	0.5405392492
344	0.5401429776
345	0.5395349951
346	0.5388810729
347	0.5382240686
348	0.5376334793
349	0.5371678935
350	0.5369265588
351	0.5364814971
352	0.5358364356
353	0.5354431792
354	0.5350277906
355	0.5344422586
356	0.5339329953
357	0.5333899147
358	0.5327809004
359	0.532290532
360	0.5320099645
361	0.5316691672
362	0.5313276132
363	0.5310201859
364	0.5303782874
365	0.529780018
366	0.5291746379
367	0.5287423805
368	0.5284392256
369	0.5279755628
370	0.5273250102
371	0.5269105859
372	0.5265828471
373	0.5261177712
374	0.5256044457
375	0.5252116656
376	0.5245686487
377	0.5240842678
378	0.523877101
379	0.5236461739
380	0.5231537061
381	0.5226538954
382	0.5223711406
383	0.5220249615
384	0.521672153
385	0.5213862886
386	0.5208106751
387	0.5200712409
388	0.5194795269
389	0.5190710854
390	0.5187357124
391	0.5185005029
392	0.5181715734
393	0.5176490976
394	0.5174176946
395	0.5169798912
396	0.5163162963
397	0.5157597706
398	0.5153065919
399	0.5150307904
400	0.5146122715
401	0.5140130755
402	0.5137645649
403	0.5134905812
404	0.5130928081
405	0.5128384984
406	0.5123393762
407	0.5118976814
408	0.5116440029
409	0.5111254001
410	0.5106894835
411	0.5103879654
412	0.5101219272
413	0.5097678233
414	0.5092597467
415	0.5090561257
416	0.5086946311
417	0.5083881822
418	0.5081514128
419	0.5078975855
420	0.5074712913
421	0.5070211033
422	0.506734391
423	0.5063710095
424	0.5061729037
425	0.5058398467
426	0.505275809
427	0.5048266219
428	0.50464562
429	0.5041588975
430	0.5035887843
431	0.5032349493
432	0.5027965383
433	0.5025439659
434	0.5022705019
435	0.5018395207
436	0.501429675
437	0.5010829031
438	0.5007852522
439	0.5004649316
440	0.500181305
441	0.4999127995
442	0.4996452944
443	0.4994327445
444	0.4990469647
445	0.4985591907
446	0.4983970142
447	0.497968513
448	0.4975536242
449	0.4971944195
450	0.496918717
451	0.4965354086
452	0.4961541422
453	0.495759818
454	0.4956117038
455	0.4951226182
456	0.4949348709
457	0.4947146164
458	0.494426945
459	0.4941802597
460	0.493956631
461	0.493767656
462	0.493451438
463	0.4932002243
464	0.492558442
465	0.492370671
466	0.4920443819
467	0.4916341363
468	0.4913911851
469	0.4911426797
470	0.4908559434
471	0.49032527
472	0.4899408874
473	0.4896775887
474	0.4894090584
475	0.489094813
476	0.4886312421
477	0.4882554081
478	0.4878345762
479	0.4875750713
480	0.4871985896
481	0.4868443604
482	0.4865753644
483	0.4861432887
484	0.4859587773
485	0.4857120069
486	0.4855466001
487	0.4851970694
488	0.4847659312
489	0.4844459876
490	0.4841982319
491	0.4838868429
492	0.4835443245
493	0.4834025919
494	0.4829562708
495	0.482766215
496	0.4825710368
497	0.4823849542
498	0.4821564461
499	0.4819702141
500	0.4817353131
501	0.4813991551
502	0.4812473351
503	0.4810507056
504	0.480717231
505	0.480567981
506	0.4800971143
507	0.4797914925
508	0.479550335
509	0.4793965101
510	0.4792470392
511	0.4790543587
512	0.4788490654
513	0.4785495701
514	0.478282025
515	0.4781428451
516	0.4776997635
517	0.4774567415
518	0.4773186136
519	0.4771946052
520	0.4769027471
521	0.4767697093
522	0.4763951675
523	0.4761435297
524	0.4760078327
525	0.4757033214
526	0.4753396812
527	0.4751429546
528	0.4749011174
529	0.474600044
530	0.4743233792
531	0.4740631098
532	0.4739056742
533	0.4733800669
534	0.4732386307
535	0.4729776771
536	0.4728542457
537	0.4726216164
538	0.4724868472
539	0.4723526191
540	0.4721555627
541	0.4718358004
542	0.4716743362
543	0.4713132268
544	0.4711485368
545	0.4709702121
546	0.4706880775
547	0.4704779145
548	0.4701497582
549	0.470014018
550	0.4698561723
551	0.4696840399
552	0.4695560587
553	0.4693511913
554	0.4691154258
555	0.4689598425
556	0.4685862045
557	0.468251432
558	0.4681219575
559	0.4679623913
560	0.4677244463
561	0.4675209289
562	0.4672973429
563	0.4669539187
564	0.4667729714
565	0.4665379934
566	0.4663171745
567	0.4660481881
568	0.4659196524
569	0.4656147344
570	0.465372806
571	0.4652274841
572	0.464938307
573	0.4647706755
574	0.4644836477
575	0.4643290996
576	0.4641370484
577	0.4639697605
578	0.4637982632
579	0.463599819
580	0.4633612185
581	0.463186742
582	0.4630669607
583	0.4628314263
584	0.4626206486
585	0.4623535166
586	0.4621799657
587	0.4619242955
588	0.461808795
589	0.4616166557
590	0.4613794419
591	0.4611805361
592	0.4610331821
593	0.4607485663
594	0.4606202036
595	0.4604084301
596	0.4602006437
597	0.4598216214
598	0.4595356645
599	0.4593696677
600	0.4591284666
601	0.45894462
602	0.4586960732
603	0.4584553821
604	0.4581132495
605	0.4579627109
606	0.4577655884
607	0.4573392672
608	0.4571434714
609	0.4569379009
610	0.4568037098
611	0.4565775791
612	0.4564167987
613	0.4562698268
614	0.4561187361
615	0.455843619
616	0.4556167681
617	0.4555052543
618	0.4553441187
619	0.4551846375
620	0.4550026364
621	0.4547240448
622	0.4544609568
623	0.454313022
624	0.4541992646
625	0.454035128
626	0.4539003286
627	0.453572464
628	0.4534573594
629	0.453289653
630	0.4530615041
631	0.4528448815
632	0.4527330583
633	0.4524982926
634	0.4522875468
635	0.452118539
636	0.4518401674
637	0.4516734055
638	0.4514724509
639	0.4512555342
640	0.45115572
641	0.4510459145
642	0.4508040732
643	0.4506173584
644	0.4504446365
645	0.4502008123
646	0.4500763569
647	0.449958255
648	0.4497999191
649	0.4496526784
650	0.4495393902
651	0.4493801529
652	0.4492148778
653	0.4490625219
654	0.4488416474
655	0.4486960461
656	0.4485948338
657	0.4483953857
658	0.4482896534
659	0.4481064395
660	0.4479071094
661	0.4476624761
662	0.4475541924
663	0.4473599931
664	0.4470761411
665	0.4468787308
666	0.4466001019
667	0.4464484824
668	0.446222963
669	0.446050122
670	0.4458612723
671	0.4456834459
672	0.4455302318
673	0.4451721826
674	0.4449613136
675	0.4448438609
676	0.4447372445
677	0.4445274897
678	0.4443545231
679	0.4441583827
680	0.4439917735
681	0.4437410043
682	0.4435711573
683	0.4433330373
684	0.4431252343
685	0.4429983305
686	0.4426711908
687	0.4423995647
688	0.4420291248
689	0.4418808056
690	0.4417259601
691	0.4415598036
692	0.4414012102
693	0.4412329736
694	0.4410697006
695	0.4408382913
696	0.4406558806
697	0.4404336825
698	0.4402842777
699	0.4401906584
700	0.4399804819
701	0.4398650592
702	0.4397149037
703	0.4394493077
704	0.4392812689
705	0.4390110523
706	0.4388588447
707	0.4387242818
708	0.4384625148
709	0.4382411952
710	0.4380811022
711	0.437922499
712	0.4377114673
713	0.4375928561
714	0.4374226867
715	0.4372407788
716	0.437074685
717	0.436858259
718	0.4366584231
